No,Codigo,Descripcion,dai,isc,ispc,isv,nivel,nivel-padre,padre,partida
1,0101,"CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS",0.00,0.00,0.00,0.00,1,0,,"Caballos, asnos, mulos y burdéganos, vivos"
2,0101.2,- Caballos:,0.00,0.00,0.00,0.00,3,1,0101,"- Caballos: | Caballos, asnos, mulos y burdéganos, vivos"
3,0101.21.00.00,- - Reproductores de raza pura,0.00,0.00,0.00,0.00,10,3,0101.2,"- - Reproductores de raza pura | - Caballos: | Caballos, asnos, mulos y burdéganos, vivos"
4,0101.29.00.00,- - Los demás,0.10,0.00,0.00,0.00,10,3,0101.2,"- - Los demás | - Caballos: | Caballos, asnos, mulos y burdéganos, vivos"
5,0101.30.00.00,- Asnos,0.10,0.00,0.00,0.00,10,1,0101,"- Asnos | Caballos, asnos, mulos y burdéganos, vivos"
6,0101.90.00.00,- Los demás,0.10,0.00,0.00,0.00,10,1,0101,"- Los demás | Caballos, asnos, mulos y burdéganos, vivos"
7,0102,ANIMALES VIVOS DE LA ESPECIE BOVINA,0.00,0.00,0.00,0.00,1,0,,Animales vivos de la especie bovina
8,0102.2,- Bovinos domésticos,0.00,0.00,0.00,0.00,3,1,0102,- Bovinos domésticos | Animales vivos de la especie bovina
9,0102.21.00.00,- - Reproductores de raza pura,0.00,0.00,0.00,0.00,10,3,0102.2,- - Reproductores de raza pura | - Bovinos domésticos | Animales vivos de la especie bovina
10,0102.29.00.00,- - Los demás,0.10,0.00,0.00,0.00,10,3,0102.2,- - Los demás | - Bovinos domésticos | Animales vivos de la especie bovina
11,0102.3,- Búfalos:,0.00,0.00,0.00,0.00,3,1,0102,- Búfalos: | Animales vivos de la especie bovina
12,0102.31.00.00,- - Reproductores de raza pura,0.00,0.00,0.00,0.00,10,3,0102.3,- - Reproductores de raza pura | - Búfalos: | Animales vivos de la especie bovina
13,0102.39.00.00,- - Los demás,0.10,0.00,0.00,0.00,10,3,0102.3,- - Los demás | - Búfalos: | Animales vivos de la especie bovina
14,0102.9,- Los demás:,0.00,0.00,0.00,0.00,3,1,0102,- Los demás: | Animales vivos de la especie bovina
15,0102.90.10.00,- - Reproductores de raza pura,0.00,0.00,0.00,0.00,10,3,0102.9,- - Reproductores de raza pura | - Los demás: | Animales vivos de la especie bovina
16,0102.90.90.00,- - Otros,0.10,0.00,0.00,0.00,10,3,0102.9,- - Otros | - Los demás: | Animales vivos de la especie bovina
17,0103,ANIMALES VIVOS DE LA ESPECIE PORCINA,0.00,0.00,0.00,0.00,1,0,,Animales vivos de la especie porcina
18,0103.10.00.00,- Reproductores de raza pura,0.00,0.00,0.00,0.00,10,1,0103,- Reproductores de raza pura | Animales vivos de la especie porcina
